他, number_of_appearances:3630
野餐, number_of_appearances:3
桌前, number_of_appearances:1
挥, number_of_appearances:4
散, number_of_appearances:5
袭击, number_of_appearances:8
后果, number_of_appearances:6
纠缠, number_of_appearances:1
转移, number_of_appearances:5
全速, number_of_appearances:5
冲进, number_of_appearances:4
一边, number_of_appearances:47
在心, number_of_appearances:24
叉子, number_of_appearances:4
挑起, number_of_appearances:3
鸡蛋, number_of_appearances:4
熏肉, number_of_appearances:3
讲话, number_of_appearances:12
包括, number_of_appearances:6
身旁, number_of_appearances:16
可怜, number_of_appearances:16
想尽, number_of_appearances:1
话题, number_of_appearances:8
拒绝, number_of_appearances:7
独处, number_of_appearances:4
负荷, number_of_appearances:1
耸立, number_of_appearances:1
怎, number_of_appearances:1
多长, number_of_appearances:3
重要, number_of_appearances:13
出于, number_of_appearances:6
抛开, number_of_appearances:1
邪恶, number_of_appearances:13
心上, number_of_appearances:1
每当, number_of_appearances:1
眨眼, number_of_appearances:4
鬼魅, number_of_appearances:2
机灵, number_of_appearances:3
骨子里, number_of_appearances:1
感觉到, number_of_appearances:10
注定, number_of_appearances:4
亲眼目睹, number_of_appearances:3
惊醒, number_of_appearances:3
交叉, number_of_appearances:6
精神焕发, number_of_appearances:1
欣赏, number_of_appearances:1
景致, number_of_appearances:1
时刻, number_of_appearances:6
足以, number_of_appearances:3
期盼, number_of_appearances:5
激怒, number_of_appearances:4
前一天, number_of_appearances:11
领教, number_of_appearances:1
暴怒, number_of_appearances:1
提, number_of_appearances:2
一整天, number_of_appearances:6
唠叨, number_of_appearances:1
扬起, number_of_appearances:4
表现, number_of_appearances:13
昨天, number_of_appearances:18
提起, number_of_appearances:9
似曾相识, number_of_appearances:6
别人, number_of_appearances:18
好主意, number_of_appearances:5
桌子, number_of_appearances:12
哎哟, number_of_appearances:1
傻瓜, number_of_appearances:8
难过, number_of_appearances:16
无能为力, number_of_appearances:2
跟上, number_of_appearances:10
正式, number_of_appearances:5
双, number_of_appearances:5
平放, number_of_appearances:1
漆, number_of_appearances:2
早已, number_of_appearances:3
剥落, number_of_appearances:1
天色, number_of_appearances:1
正好, number_of_appearances:6
相反, number_of_appearances:4
墙头, number_of_appearances:1
月一次, number_of_appearances:1
迎来, number_of_appearances:3
从不, number_of_appearances:9
例外, number_of_appearances:1
一周, number_of_appearances:7
补给, number_of_appearances:9
提出, number_of_appearances:8
欲望, number_of_appearances:3
发痒, number_of_appearances:1
胶带, number_of_appearances:2
封, number_of_appearances:1
解, number_of_appearances:8
掌控, number_of_appearances:2
有所, number_of_appearances:1
需, number_of_appearances:2
种植, number_of_appearances:3
培养, number_of_appearances:1
大部, number_of_appearances:1
分所, number_of_appearances:1
获得, number_of_appearances:4
等等, number_of_appearances:6
通过, number_of_appearances:10
试, number_of_appearances:24
全部, number_of_appearances:12
停止, number_of_appearances:15
弄, number_of_appearances:14
很想, number_of_appearances:11
掺杂, number_of_appearances:1
各种, number_of_appearances:9
惊愕, number_of_appearances:1
早晨, number_of_appearances:4
费心, number_of_appearances:1
分成, number_of_appearances:2
个部, number_of_appearances:2
分, number_of_appearances:6
一一, number_of_appearances:2
列出, number_of_appearances:1
名称, number_of_appearances:1
屋, number_of_appearances:18
死角, number_of_appearances:3
不解, number_of_appearances:7
眼皮, number_of_appearances:3
一千, number_of_appearances:1
愿, number_of_appearances:4
庄稼, number_of_appearances:1
管子, number_of_appearances:2
取水, number_of_appearances:1
从来不, number_of_appearances:2
下雨, number_of_appearances:2
牲口棚, number_of_appearances:7
饲养, number_of_appearances:1
屠宰, number_of_appearances:4
简陋, number_of_appearances:3
生活区, number_of_appearances:1
倍, number_of_appearances:1
送来, number_of_appearances:7
得以, number_of_appearances:3
不断, number_of_appearances:30
不好看, number_of_appearances:1
实用, number_of_appearances:1
露天, number_of_appearances:1
晕乎乎, number_of_appearances:2
控制, number_of_appearances:17
西南, number_of_appearances:1
树林, number_of_appearances:28
前面, number_of_appearances:31
病怏怏, number_of_appearances:1
长凳, number_of_appearances:5
墓地, number_of_appearances:21
密林, number_of_appearances:1
坐坐, number_of_appearances:1
闲逛, number_of_appearances:2
转变, number_of_appearances:3
周, number_of_appearances:5
天分, number_of_appearances:1
别为, number_of_appearances:1
垒, number_of_appearances:3
砖, number_of_appearances:1
装袋, number_of_appearances:7
挖土, number_of_appearances:3
总有, number_of_appearances:4
坚持下去, number_of_appearances:3
总是, number_of_appearances:7
来吧, number_of_appearances:12
朝南, number_of_appearances:1
也就是, number_of_appearances:7
扑鼻, number_of_appearances:1
粪肥, number_of_appearances:1
气味, number_of_appearances:12
比起, number_of_appearances:3
喂养, number_of_appearances:1
好在, number_of_appearances:3
懊恼, number_of_appearances:4
细嚼慢咽, number_of_appearances:1
食槽, number_of_appearances:1
干草, number_of_appearances:1
懒洋洋, number_of_appearances:1
泥塘, number_of_appearances:1
偶尔, number_of_appearances:1
摆动, number_of_appearances:5
尾巴, number_of_appearances:2
才能, number_of_appearances:18
活着, number_of_appearances:15
绵羊, number_of_appearances:4
鸡圈, number_of_appearances:1
火, number_of_appearances:8
鸡笼, number_of_appearances:1
忙碌, number_of_appearances:10
一生, number_of_appearances:3
新鲜, number_of_appearances:3
有趣, number_of_appearances:4
通常, number_of_appearances:7
诸如此类, number_of_appearances:2
保留, number_of_appearances:3
错综复杂, number_of_appearances:1
原先, number_of_appearances:3
油漆, number_of_appearances:3
发暗, number_of_appearances:1
锈, number_of_appearances:2
令人作呕, number_of_appearances:5
不怎么样, number_of_appearances:3
鲜活, number_of_appearances:1
树叶, number_of_appearances:3
白天, number_of_appearances:9
深处, number_of_appearances:18
正常, number_of_appearances:20
颜色, number_of_appearances:7
偏, number_of_appearances:4
橘红, number_of_appearances:1
选择性, number_of_appearances:1
闪亮, number_of_appearances:6
圆盘, number_of_appearances:1
眨眨, number_of_appearances:4
闪耀, number_of_appearances:1
跳动, number_of_appearances:3
比对, number_of_appearances:7
听而不闻, number_of_appearances:2
态度, number_of_appearances:7
讳莫如深, number_of_appearances:1
实在, number_of_appearances:14
恼人, number_of_appearances:3
南门, number_of_appearances:2
嵌, number_of_appearances:3
两端, number_of_appearances:1
缝隙, number_of_appearances:5
最为, number_of_appearances:1
仰, number_of_appearances:3
起头, number_of_appearances:1
在朝, number_of_appearances:1
摇晃, number_of_appearances:4
家的, number_of_appearances:1
敬畏, number_of_appearances:5
背对, number_of_appearances:3
作为, number_of_appearances:8
那天, number_of_appearances:13
早些, number_of_appearances:1
时候, number_of_appearances:13
激灵, number_of_appearances:2
不禁, number_of_appearances:6
下意识, number_of_appearances:2
镇静, number_of_appearances:2
责备, number_of_appearances:1
难堪, number_of_appearances:3
讲述, number_of_appearances:4
年, number_of_appearances:15
先来, number_of_appearances:2
来得, number_of_appearances:3
久, number_of_appearances:10
加速, number_of_appearances:2
年来, number_of_appearances:5
走运, number_of_appearances:3
绘, number_of_appearances:2
地图, number_of_appearances:99
不容易, number_of_appearances:1
点, number_of_appearances:32
点头, number_of_appearances:20
死去, number_of_appearances:12
写, number_of_appearances:26
自尊, number_of_appearances:1
派, number_of_appearances:9
寻开心, number_of_appearances:1
一号, number_of_appearances:1
准则, number_of_appearances:1
一旦, number_of_appearances:12
宽恕, number_of_appearances:1
条规, number_of_appearances:2
定, number_of_appearances:6
亲自动手, number_of_appearances:1
抱怨, number_of_appearances:14
夸大其词, number_of_appearances:1
昨晚, number_of_appearances:10
一名, number_of_appearances:11
内心深处, number_of_appearances:5
尽管, number_of_appearances:23
愿望, number_of_appearances:10
口渴, number_of_appearances:1
召唤, number_of_appearances:3
动静, number_of_appearances:9
银光, number_of_appearances:1
丛, number_of_appearances:2
懒得, number_of_appearances:4
不许, number_of_appearances:5
提问, number_of_appearances:5
题, number_of_appearances:4
还要, number_of_appearances:14
叹, number_of_appearances:16
造物主, number_of_appearances:1
这种方式, number_of_appearances:3
警报声, number_of_appearances:3
四处, number_of_appearances:8
表, number_of_appearances:4
现出, number_of_appearances:9
响彻, number_of_appearances:5
导游, number_of_appearances:1
世界末日, number_of_appearances:2
宽慰, number_of_appearances:2
厌倦, number_of_appearances:10
一次次, number_of_appearances:2
搜寻, number_of_appearances:4
瘦削, number_of_appearances:2
缘由, number_of_appearances:1
漠然, number_of_appearances:2
快步, number_of_appearances:3
靠近, number_of_appearances:23
合理, number_of_appearances:2
大喊, number_of_appearances:13
出奇, number_of_appearances:2
一巴掌, number_of_appearances:2
误, number_of_appearances:1
实际上, number_of_appearances:5
难以置信, number_of_appearances:12
微微, number_of_appearances:11
同一个, number_of_appearances:3
不必, number_of_appearances:2
连续, number_of_appearances:5
罢, number_of_appearances:1
警报, number_of_appearances:3
足足, number_of_appearances:4
钢铁, number_of_appearances:3
捅, number_of_appearances:2
远非, number_of_appearances:1
我猜, number_of_appearances:8
规律, number_of_appearances:12
可循, number_of_appearances:1
每月, number_of_appearances:1
同一天, number_of_appearances:4
天晓得, number_of_appearances:1
负责人, number_of_appearances:2
错误, number_of_appearances:6
咯咯笑, number_of_appearances:1
肋骨, number_of_appearances:1
顶, number_of_appearances:3
莫名其妙, number_of_appearances:4
增添, number_of_appearances:2
几分, number_of_appearances:3
好感, number_of_appearances:2
假装, number_of_appearances:5
讨厌, number_of_appearances:11
呼哧, number_of_appearances:1
十分, number_of_appearances:12
衣领, number_of_appearances:1
开起, number_of_appearances:1
窟窿, number_of_appearances:5
有没有, number_of_appearances:12
完人, number_of_appearances:1
管用, number_of_appearances:5
等到, number_of_appearances:14
空无一人, number_of_appearances:1
下降, number_of_appearances:5
这件, number_of_appearances:15
好不容易, number_of_appearances:7
着实, number_of_appearances:5
恼火, number_of_appearances:4
交流, number_of_appearances:4
空空如也, number_of_appearances:1
行不通, number_of_appearances:1
听不到, number_of_appearances:4
落地, number_of_appearances:5
坠落, number_of_appearances:7
到底, number_of_appearances:34
读心术, number_of_appearances:1
加上, number_of_appearances:2
聪明, number_of_appearances:7
而已, number_of_appearances:9
挤眉弄眼, number_of_appearances:1
微笑, number_of_appearances:18
烦人, number_of_appearances:7
方面, number_of_appearances:8
缓解, number_of_appearances:2
程度, number_of_appearances:7
到达, number_of_appearances:19
